id,date,block,iucr,primary_type,description,location_description,latitude,longitude,location
3757015,2005-01-15T15:30:00.000,006XX N RUSH ST,0810,THEFT,OVER $500,STREET,41.892985544,-87.62540703,"{'latitude': '41.892985544', 'longitude': '-87.62540703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3731066,2005-01-01T01:00:00.000,001XX E OHIO ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,41.89256902,-87.623725813,"{'latitude': '41.89256902', 'longitude': '-87.623725813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3732215,2005-01-02T14:30:00.000,001XX E CHICAGO AVE,0870,THEFT,POCKET-PICKING,SMALL RETAIL STORE,41.896729066,-87.624579657,"{'latitude': '41.896729066', 'longitude': '-87.624579657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3733631,2005-01-01T02:00:00.000,001XX E WALTON ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.900017769,-87.623426629,"{'latitude': '41.900017769', 'longitude': '-87.623426629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3733837,2005-01-02T16:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3733928,2005-01-02T17:15:00.000,009XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.899552895,-87.624137033,"{'latitude': '41.899552895', 'longitude': '-87.624137033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3735294,2005-01-03T20:30:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,OTHER,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3735817,2005-01-03T18:50:00.000,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,41.893140033,-87.624204307,"{'latitude': '41.893140033', 'longitude': '-87.624204307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3735853,2005-01-03T18:05:00.000,009XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,CTA BUS,41.899769742,-87.624145653,"{'latitude': '41.899769742', 'longitude': '-87.624145653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3736148,2005-01-02T03:45:00.000,005XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3736155,2005-01-01T02:56:45.000,001XX E ONTARIO ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,41.893349463,-87.623456403,"{'latitude': '41.893349463', 'longitude': '-87.623456403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3736416,2005-01-04T07:15:00.000,006XX N ST CLAIR ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,COMMERCIAL / BUSINESS OFFICE,41.894563504,-87.622745105,"{'latitude': '41.894563504', 'longitude': '-87.622745105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3736486,2005-01-04T22:15:00.000,005XX N MICHIGAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3737391,2005-01-01T04:00:00.000,001XX E CHESTNUT ST,0890,THEFT,FROM BUILDING,RESTAURANT,41.898371341,-87.625222661,"{'latitude': '41.898371341', 'longitude': '-87.625222661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3738249,2005-01-02T10:00:00.000,001XX E PEARSON ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,41.897601664,-87.622792233,"{'latitude': '41.897601664', 'longitude': '-87.622792233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3739069,2005-01-01T00:30:00.000,001XX E WALTON ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.900017769,-87.623426629,"{'latitude': '41.900017769', 'longitude': '-87.623426629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3739143,2005-01-04T17:15:00.000,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3739276,2005-01-05T12:45:00.000,001XX E DELAWARE PL,0820,THEFT,$500 AND UNDER,STREET,41.899227252,-87.622954198,"{'latitude': '41.899227252', 'longitude': '-87.622954198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3739302,2005-01-01T03:00:00.000,008XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,41.896943556,-87.624206307,"{'latitude': '41.896943556', 'longitude': '-87.624206307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3739338,2005-01-05T11:40:00.000,001XX E WALTON ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.900022212,-87.623257611,"{'latitude': '41.900022212', 'longitude': '-87.623257611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3740676,2005-01-01T01:30:00.000,001XX E HURON ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,41.894946206,-87.623835398,"{'latitude': '41.894946206', 'longitude': '-87.623835398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3741272,2005-01-06T09:25:00.000,007XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,41.895140898,-87.624255632,"{'latitude': '41.895140898', 'longitude': '-87.624255632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3741287,2005-01-06T14:30:00.000,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,41.893812529,-87.624229924,"{'latitude': '41.893812529', 'longitude': '-87.624229924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3741446,2005-01-05T11:18:00.000,007XX N MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,DEPARTMENT STORE,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3741781,2005-01-07T17:00:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3742088,2005-01-01T00:01:00.000,005XX N MICHIGAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,HOTEL/MOTEL,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3742510,2005-01-03T23:00:00.000,008XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,41.898767916,-87.624116333,"{'latitude': '41.898767916', 'longitude': '-87.624116333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3742925,2005-01-03T19:00:00.000,006XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,41.893842714,-87.62422959,"{'latitude': '41.893842714', 'longitude': '-87.62422959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3743084,2005-01-02T20:00:00.000,001XX E OHIO ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,41.892559086,-87.623450463,"{'latitude': '41.892559086', 'longitude': '-87.623450463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3743183,2005-01-04T04:00:00.000,005XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3743262,2005-01-07T17:45:00.000,005XX N MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,DEPARTMENT STORE,41.891133566,-87.624134682,"{'latitude': '41.891133566', 'longitude': '-87.624134682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3743448,2005-01-07T17:18:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3743502,2005-01-07T18:30:00.000,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3743818,2005-01-09T16:50:00.000,006XX N MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,41.892753031,-87.624193896,"{'latitude': '41.892753031', 'longitude': '-87.624193896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3744631,2005-01-07T19:25:00.000,006XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,41.893598425,-87.624221273,"{'latitude': '41.893598425', 'longitude': '-87.624221273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3745280,2005-01-08T21:20:00.000,007XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,41.896375946,-87.6242787,"{'latitude': '41.896375946', 'longitude': '-87.6242787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3746409,2005-01-09T17:15:00.000,009XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3746472,2005-01-09T18:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3747885,2005-01-11T15:45:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3747913,2005-01-08T01:00:00.000,005XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.891199446,-87.624137626,"{'latitude': '41.891199446', 'longitude': '-87.624137626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3748057,2005-01-11T02:30:00.000,005XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3748352,2005-01-11T17:59:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3749169,2005-01-12T09:00:00.000,001XX E ERIE ST,0870,THEFT,POCKET-PICKING,CTA BUS,41.894122739,-87.625137369,"{'latitude': '41.894122739', 'longitude': '-87.625137369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3749376,2005-01-11T14:31:00.000,006XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,41.894539838,-87.624243916,"{'latitude': '41.894539838', 'longitude': '-87.624243916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3750776,2005-01-09T13:25:00.000,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.894465726,-87.624241063,"{'latitude': '41.894465726', 'longitude': '-87.624241063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3750959,2005-01-12T22:00:00.000,006XX N MICHIGAN AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,RESTAURANT,41.892753031,-87.624193896,"{'latitude': '41.892753031', 'longitude': '-87.624193896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3751853,2005-01-13T09:00:00.000,001XX E ONTARIO ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),41.893349463,-87.623456403,"{'latitude': '41.893349463', 'longitude': '-87.623456403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3751890,2005-01-12T12:00:00.000,001XX E WALTON ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,41.899989717,-87.625105604,"{'latitude': '41.899989717', 'longitude': '-87.625105604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3752427,2005-01-13T07:00:00.000,006XX N ST CLAIR ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),41.892760278,-87.622702655,"{'latitude': '41.892760278', 'longitude': '-87.622702655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3753147,2005-01-11T19:15:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
